"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Il18",3.21308282784802e-85,0.351326283866159,0.347,0.271,5.80893244446644e-81
"Mettl9",7.73693020687897e-84,0.271556228996597,0.313,0.238,1.39875961210165e-79
"Nebl",5.41646197653772e-83,-0.382073723816972,0.37,0.433,9.79242160738254e-79
"Cxadr",1.38034317746352e-78,-0.256800360452094,0.721,0.749,2.4955224305363e-74
"Limch1",2.04049396154066e-75,0.252695376161957,0.295,0.224,3.68900903306936e-71
"Rnf149",2.46049468784523e-75,-0.302500688838228,0.321,0.386,4.44832834615539e-71
"Lmo7",1.47473229909176e-74,-0.286065213949721,0.525,0.572,2.66616852352799e-70
"Syne4",2.09024639799632e-74,-0.311975587417839,0.32,0.385,3.77895646293754e-70
"Oas3",2.18700354494127e-74,0.309449402710532,0.251,0.187,3.95388370889932e-70
"Mcc",3.97784915952448e-74,-0.290089680391647,0.194,0.257,7.19155349550431e-70
"Krt7",4.46654399099002e-74,-0.295722138106685,0.702,0.722,8.07506488131086e-70
"Gabrp",5.18101305266465e-74,0.332126499474595,0.288,0.221,9.36675349791243e-70
"Slc31a1",6.34635172603286e-74,-0.281726807953419,0.203,0.265,1.14735692854948e-69
"Cfb",1.2866782363963e-73,-0.287742658132026,0.271,0.336,2.32618558358087e-69
"Fn1",1.06506358574845e-72,-0.324862045124524,0.496,0.557,1.92552845667463e-68
"Cftr",1.53882034883272e-72,0.331152951846177,0.253,0.19,2.78203330865468e-68
"Rdh10",1.86283574882214e-72,-0.341861045059932,0.537,0.578,3.36782075029554e-68
"Ly6a",1.7492457231722e-70,0.303372232702909,0.611,0.55,3.16246134292302e-66
"Tns4",3.14626677191498e-70,-0.27269690866016,0.531,0.585,5.6881356969451e-66
"Myh14",1.37709915184927e-63,-0.326360718112154,0.306,0.364,2.48965755662829e-59
"Dkk2",3.87516474108981e-63,-0.390321759753678,0.392,0.44,7.00591033541627e-59
"Sat1",1.00185888484858e-62,-0.358288387978699,0.265,0.321,1.81126067791775e-58
"Ckmt1",4.52774637471735e-62,-0.316102991964997,0.254,0.31,8.18571267085149e-58
"Pglyrp1",7.59355185696856e-62,-0.372726287131645,0.478,0.521,1.37283824022135e-57
"BC016579",1.58609267569084e-61,-0.25442171376189,0.31,0.369,2.86749694838148e-57
"Cldn4",9.87096513580616e-61,0.284872242100975,0.684,0.62,1.7845717869024e-56
"Xbp1",2.01130675903912e-60,-0.315137177896121,0.483,0.527,3.63624148966683e-56
"Muc1",5.38077378833967e-59,-0.293749175091389,0.253,0.308,9.72790093193929e-55
"Adgrg1",1.0761751067309e-57,-0.253710193993289,0.316,0.372,1.94561697545879e-53
"Plch2",3.65723578735533e-57,-0.27346011756532,0.319,0.374,6.6119165799597e-53
"Wars",1.51367534090007e-56,-0.266659480619583,0.294,0.35,2.73657364881324e-52
"Jund",3.21045244936044e-56,-0.317677941959579,0.566,0.609,5.80417698319875e-52
"Igfbp4",5.52972107363664e-56,-0.307164975301325,0.282,0.336,9.99718272902767e-52
"Tnfrsf11a",6.23759857573239e-56,-0.277832679527051,0.305,0.358,1.12769544650666e-51
"Igsf9",1.9451423458625e-54,-0.262433169758726,0.303,0.357,3.51662284708482e-50
"Slc35a3",8.32116949621567e-53,-0.263342974573878,0.42,0.465,1.50438423322083e-48
"Kif13a",2.3077561567177e-52,-0.256597156546169,0.305,0.356,4.17219235572994e-48
"Ppp1r1b",9.50060671208102e-52,-0.283767843792127,0.4,0.446,1.71761468747713e-47
"Misp",3.80689923404607e-50,-0.277806439739222,0.334,0.382,6.88249312523189e-46
"Stk25",2.82725261414241e-48,-0.258587929706249,0.533,0.566,5.11139000110807e-44
"Krt8",5.83041009000268e-45,-0.368279591241123,0.68,0.696,1.05407984017158e-40
"Erich3",6.11502917109736e-45,0.364180529128302,0.434,0.388,1.10553612384269e-40
"Slc39a8",2.02042090215191e-44,-0.299537565851801,0.352,0.394,3.65271894900044e-40
"Ms4a8a",7.45110082277752e-44,-0.259593208301316,0.349,0.399,1.34708451774995e-39
"Etfbkmt",1.2871929816139e-43,-0.252911521505748,0.346,0.392,2.32711619145977e-39
"Oasl2",1.06496668664155e-39,0.271014544107703,0.461,0.41,1.92535327277927e-35
"Tagln2",3.23242181819766e-35,-0.279561231306077,0.375,0.409,5.84389540511955e-31
"Rnd3",2.31348838732173e-34,-0.259347404806622,0.253,0.293,4.18255565543896e-30
"Rhob",9.93119712346347e-32,-0.262666122409125,0.372,0.405,1.79546112795096e-27
"Trp53inp1",1.91823995123857e-30,-0.29089633318806,0.348,0.382,3.46798600784422e-26
"Lrrc45",4.21972756079856e-30,0.28612809089922,0.516,0.469,7.62884545716772e-26
"Flna",5.28610428063745e-25,-0.261617045401873,0.397,0.422,9.55674792896444e-21
"Spp1",5.6955356784282e-25,0.372615371232388,0.686,0.672,1.02969589530303e-20
"S100a10",2.38443909630573e-23,-0.270141262900351,0.373,0.399,4.31082744221114e-19
"Rac3",5.80096768287923e-17,0.348465279642823,0.352,0.324,1.04875694738774e-12
"Lypd8",7.54433663309109e-16,-0.526243880643049,0.245,0.268,1.36394061989654e-11
"Muc2",1.66772961765591e-05,-0.374138150189939,0.26,0.272,0.301508837576012
