"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cnot6l",2.33294017116013e-246,0.3853283479234,0.482,0.337,4.2177225354404e-242
"Ulk1",1.06384158660754e-244,0.369970866186777,0.538,0.39,1.92331920442778e-240
"D5Ertd579e",1.45427271997827e-244,0.39346252249993,0.388,0.254,2.62917965044872e-240
"Tctn1",1.59039138147946e-244,0.382632392214429,0.373,0.238,2.87526857857672e-240
"Atxn2",1.60052877351192e-244,0.379097367407117,0.385,0.249,2.8935959696322e-240
"Rnf4",5.37208202688763e-244,0.343975046463058,0.628,0.478,9.71218709641015e-240
"Hectd4",6.6657514755316e-244,0.362010656693778,0.414,0.274,1.20510120926136e-239
"Galnt11",4.34515691612037e-243,0.360161816395442,0.267,0.148,7.85560918865402e-239
"Tecpr1",2.96437186822233e-239,0.404747254952483,0.368,0.235,5.35928790055916e-235
"Maea",6.14544345556066e-239,0.35715326416681,0.477,0.333,1.11103472233081e-234
"Hs3st1",6.19463635888185e-239,0.506518619610133,0.399,0.269,1.11992830732225e-234
"Dnajb6",1.05979143204313e-238,0.360626004204892,0.53,0.383,1.91599692999078e-234
"Srp72",1.74114457082346e-238,0.380602445873375,0.434,0.292,3.14781526959173e-234
"Sart3",2.95391117704551e-237,0.357397234627228,0.505,0.357,5.34037601698057e-233
"Chpf2",5.85208027631718e-236,0.366676609992304,0.377,0.243,1.05799759315538e-231
"Eif3b",7.20158881068092e-236,0.37789063424653,0.39,0.255,1.301975241083e-231
"Rab35",1.14118876674264e-233,0.369667886507464,0.375,0.242,2.06315517139403e-229
"Smim14",5.02328409156409e-233,0.388511747249866,0.381,0.247,9.08159530913872e-229
"Nub1",3.89527293974842e-232,0.371133104027065,0.401,0.266,7.04226394777118e-228
"Tpcn1",1.04116015131152e-231,0.38948725254422,0.418,0.285,1.8823134375561e-227
"G3bp2",9.39209761439833e-231,0.35530403979475,0.485,0.342,1.69799732770707e-226
"Plbd2",1.83595022582067e-230,0.370805544632492,0.349,0.221,3.31921441326118e-226
